State Name,District Name,Market Name,Commodity,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,0.1,9800,10200,10000,11/12/2024
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,0.3,10000,10550,10275,9/27/2024
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,0.9,9000,10200,9600,10/25/2024
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,4900,5450,5175,7/1/2020
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,5000,5500,5250,7/7/2020
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,5000,5600,5300,7/13/2020
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,5000,5600,5300,7/31/2020
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,5500,6000,5750,12/16/2021
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,5600,5700,5650,11/10/2021
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,5600,5800,5700,12/3/2021
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,5800,6000,5900,12/7/2021
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,5800,6000,5900,12/20/2021
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,6000,6100,6050,1/1/2022
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,6000,6100,6050,6/24/2022
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,6100,6300,6200,6/19/2021
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,6800,7200,7000,9/16/2022
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,7000,7300,7150,11/24/2022
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,7000,7400,7200,9/2/2022
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,7000,7400,7200,7/22/2022
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,7000,7400,7200,9/23/2022
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,7200,7400,7300,8/30/2022
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,7700,7800,7750,8/20/2022
Maharashtra,Amarawati,Achalpur,Arhar (Tur/Red Gram)(Whole),Other,Pulses,1,9000,9500,9250,12/22/2023
